zero_index,gamma,p_ext,P_int,E,standard_mass_equivalent,equivalence_error,standard_KG_E
1,14.134725141734695,11.399999999999999,14.134725141734695,18.15903232092467,14.134725141734695,0.0,18.15903232092467
1,14.134725141734695,12.0,14.134725141734695,18.541587171339646,14.134725141734695,0.0,18.541587171339646
1,14.134725141734695,12.600000000000001,14.134725141734695,18.935428562152662,14.134725141734695,0.0,18.935428562152662
1,14.134725141734695,13.199999999999996,14.134725141734695,19.339866980731454,14.134725141734695,0.0,19.339866980731454
1,14.134725141734695,13.799999999999997,14.134725141734695,19.7542515634581,14.134725141734695,0.0,19.7542515634581
1,14.134725141734695,14.399999999999999,14.134725141734695,20.177969541863888,14.134725141734695,0.0,20.177969541863888
1,14.134725141734695,15.0,14.134725141734695,20.61044528467027,14.134725141734695,0.0,20.61044528467027
1,14.134725141734695,15.600000000000001,14.134725141734695,21.05113903883557,14.134725141734695,0.0,21.05113903883557
1,14.134725141734695,16.199999999999996,14.134725141734695,21.499545456413415,14.134725141734695,0.0,21.499545456413415
1,14.134725141734695,16.799999999999997,14.134725141734695,21.955191978946274,14.134725141734695,0.0,21.955191978946274
1,14.134725141734695,17.4,14.134725141734695,22.41763713758403,14.134725141734695,0.0,22.41763713758403
1,14.134725141734695,18.0,14.134725141734695,22.886468815271325,14.134725141734695,0.0,22.886468815271325
1,14.134725141734695,18.6,14.134725141734695,23.361302507188825,14.134725141734695,0.0,23.361302507188825
1,14.134725141734695,19.199999999999996,14.134725141734695,23.841779607076035,14.134725141734695,0.0,23.841779607076035
1,14.134725141734695,19.799999999999997,14.134725141734695,24.327565739966396,14.134725141734695,0.0,24.327565739966396
1,14.134725141734695,20.4,14.134725141734695,24.818349156065697,14.134725141734695,0.0,24.818349156065697
1,14.134725141734695,21.0,14.134725141734695,25.31383919583094,14.134725141734695,0.0,25.31383919583094
1,14.134725141734695,21.6,14.134725141734695,25.813764832592454,14.134725141734695,0.0,25.813764832592454
1,14.134725141734695,22.199999999999996,14.134725141734695,26.317873296153447,14.134725141734695,0.0,26.317873296153447
1,14.134725141734695,22.799999999999997,14.134725141734695,26.825928778560247,14.134725141734695,0.0,26.825928778560247
1,14.134725141734695,23.4,14.134725141734695,27.337711221541333,14.134725141734695,0.0,27.337711221541333
1,14.134725141734695,24.0,14.134725141734695,27.85301518386092,14.134725141734695,0.0,27.85301518386092
1,14.134725141734695,24.6,14.134725141734695,28.371648785933942,14.134725141734695,0.0,28.371648785933942
1,14.134725141734695,25.199999999999996,14.134725141734695,28.89343272843133,14.134725141734695,0.0,28.89343272843133
1,14.134725141734695,25.799999999999997,14.134725141734695,29.418199381205962,14.134725141734695,0.0,29.418199381205962
1,14.134725141734695,26.4,14.134725141734695,29.945791938641175,14.134725141734695,0.0,29.945791938641175
1,14.134725141734695,27.0,14.134725141734695,30.476063637425142,14.134725141734695,0.0,30.476063637425142
1,14.134725141734695,27.599999999999994,14.134725141734695,31.00887703275284,14.134725141734695,0.0,31.00887703275284
1,14.134725141734695,28.199999999999996,14.134725141734695,31.544103329027863,14.134725141734695,0.0,31.544103329027863
1,14.134725141734695,28.799999999999997,14.134725141734695,32.08162176125744,14.134725141734695,0.0,32.08162176125744
1,14.134725141734695,29.4,14.134725141734695,32.62131902349117,14.134725141734695,0.0,32.62131902349117
1,14.134725141734695,30.0,14.134725141734695,33.16308874083334,14.134725141734695,0.0,33.16308874083334
2,21.022039638771556,-30.0,21.022039638771556,36.63231019979606,21.022039638771556,0.0,36.63231019979606
2,21.022039638771556,-29.4,21.022039638771556,36.14258085104165,21.022039638771556,0.0,36.14258085104165
2,21.022039638771556,-28.8,21.022039638771556,35.65622176526956,21.022039638771556,0.0,35.65622176526956
2,21.022039638771556,-28.2,21.022039638771556,35.173372749483136,21.022039638771556,0.0,35.173372749483136
